Id,Keratella_cochlearis_tecta,Polyarthra_vulgaris,Pompholyx_sulcata,Mesocyclops_leuckarti,Lake_class
1,0.03,0,0,0,Oligohaline
2,0.08,0,0,0.09,Oligohaline
3,0.06,0,0,0.08,Oligohaline
4,0.04,0,0,0.14,Oligohaline
5,0.02,0,0,0,Oligohaline
6,0.11,0,0,0.05,Mesohaline
7,0.16,0,0,0,Mesohaline
8,0.19,0,0,0.03,Mesohaline
9,0.24,0,0,0.05,Mesohaline
10,0.21,0,0,0,Mesohaline
11,0.32,0,0,0.07,Mesohaline
12,0.07,0,0,0,Mesohaline
13,0,0,0,0,Mesohaline
14,0.19,0,0.03,0,Mesohaline
15,0.01,0,0,0,Mesohaline
16,0.03,0,0,0.04,Oligohaline
17,0.1,0,0,0.1,Oligohaline
18,0.23,0,0,0.5,Oligohaline
19,0.18,0,0,0.09,Oligohaline
20,0.07,0,0,0.28,Oligohaline
21,0.04,0,0,0.05,Oligohaline
22,0.02,0,0,0.1,Oligohaline
23,0.03,0,0,0.14,Oligohaline
24,0.03,0,0,0.05,Oligohaline
25,0.02,0,0,0,Oligohaline
26,0.01,0,0,0,Freshwater
27,0.03,0,0,0,Freshwater
28,0.04,0,0,0,Freshwater
29,0.09,0.01,0,0,Freshwater
30,0.04,0,0,0,Freshwater
31,0,0,0,0,Freshwater
32,0.01,0,0,0.39,Freshwater
33,0,0,0,0.09,Freshwater
34,0,0,0,0.58,Freshwater
35,0,0,0,0.05,Freshwater
36,0.04,0,0,0,Freshwater
37,0.04,0,0,0.09,Freshwater
38,0.05,0,0,0,Freshwater
39,0.01,0,0,0,Freshwater
40,0.03,0,0,0.08,Freshwater
41,0.01,0,0,0,Freshwater
42,0.01,0,0,0,Freshwater
43,0.03,0,0,0.12,Freshwater
44,0.03,0,0,0,Freshwater
45,0.04,0,0,0.19,Freshwater
46,0.04,0,0,0,Freshwater
47,0.03,0,0,0,Freshwater
48,0.09,0,0,0.17,Freshwater
49,0.03,0,0,0.03,Freshwater
50,0.07,0,0,0,Freshwater
51,0.02,0,0,0,Freshwater
52,0,0.01,0,0.26,Freshwater
53,0,0,0,0,Freshwater
54,0.07,0.01,0,0,Freshwater
55,0.04,0,0.01,0,Freshwater-isolated
56,0.05,0,0.03,0,Freshwater-isolated
57,0.03,0,0.01,0,Freshwater-isolated
58,0.04,0,0.03,0,Freshwater-isolated
59,0.03,0,0.02,0,Freshwater-isolated
